cdatetime,address,district,beat,grid,crimedescr,ucr_ncic_code,latitude,longitude
1/8/06 19:30,ALTOS AVE / ACACIA AVE,2,2B        ,543,SUSPICIOUS VEHICLE - I RPT,7000,38.62127582,-121.4481729
1/8/06 19:30,1690 ARDEN WAY,2,2C        ,628,459 PC  BURGLARY VEHICLE,2299,38.59808509,-121.4275537
1/8/06 19:37,3800 STOCKTON BLVD,6,6A        ,1053,243(D) PC BATT/CIVILIAN W/INJ,1315,38.54020494,-121.4505653
1/8/06 19:48,3725 32ND ST,6,6A        ,1051,11378 HS POSS/SALE AMPHETAMINE,3571,38.5407138,-121.4719831
1/8/06 19:54,1325 18TH ST,3,3M        ,746,243(D) PC BATT/CIVILIAN W/INJ,1315,38.57321469,-121.484146
1/8/06 20:00,2471 AMERICAN RIVER DR,3,3C        ,877,10851(A)VC TAKE VEH W/O OWNER,2404,38.56931527,-121.405123
1/8/06 20:24,FRANKLIN BLVD / 26TH AVE,4,4B        ,969,TOWED/STORED VEH-14602.6,7000,38.52904451,-121.4727965
1/8/06 20:25,1025 ALHAMBRA BLVD,3,3C        ,841,211 PC ROBBERY- BUSINESS,1299,38.57188611,-121.4648897
1/8/06 20:26,1906 FRUITRIDGE RD,4,4B        ,986,594(B)(2)(A) VANDALISM/ -$400,2999,38.52466107,-121.4966332
1/8/06 20:30,WOODBINE AVE / 49TH AVE,4,4B        ,1336,211 PC  ROBBERY UNSPECIFIED,1299,38.50801843,-121.4787669
1/8/06 20:30,6450 BAMFORD DR,5,5C        ,1623,459 PC  BURGLARY VEHICLE,2299,38.47047038,-121.4276716
1/8/06 20:41,1620 W EL CAMINO AVE,1,1B        ,443,211 PC  ROBBERY UNSPECIFIED,1299,38.61266409,-121.4988152
1/8/06 20:45,7821 ALTA VALLEY DR,5,5C        ,1624,20002(A) HIT/RUN,5401,38.47322263,-121.4250682
1/8/06 20:49,2741 67TH AVE,5,5A        ,1363,148.9 PC FALSE ID TO OFFICER,4803,38.49145352,-121.4760298
1/8/06 21:00,8001 BRUCEVILLE RD,5,5C        ,1639,242 PC  BATTERY CIVILIAN,1313,38.46689445,-121.4170895
1/8/06 21:00,4800 KOKOMO DR,1,1A        ,123,484 PETTY THEFT/LICENSE PLATE,2399,38.6593321,-121.5231067
1/8/06 21:00,4800 KOKOMO DR,1,1A        ,123,VANDALISM - I RPT,7000,38.6593321,-121.5231067
1/8/06 21:00,4800 KOKOMO DR,1,1A        ,123,484 PETTY THEFT/LICENSE PLATE,2399,38.6593321,-121.5231067
1/8/06 21:00,2265 RIVER PLAZA DR,1,1B        ,440,10851(A)VC TAKE VEH W/O OWNER,2404,38.60607992,-121.5170483
1/8/06 21:00,815 SAN JUAN RD,1,1C        ,405,10851(A)VC TAKE VEH W/O OWNER,2404,38.62907056,-121.4812389
1/8/06 21:02,6336 SUN RIVER DR,6,6C        ,1424,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.5107739,-121.4125759
1/8/06 21:30,6001 RIZA AVE,6,6C        ,1441,MISCELLANEOUS I RPT (ZMISC),7000,38.50553737,-121.4357391
1/8/06 21:30,307 DRAGONFLY CIR,1,1A        ,344,10851(A)VC TAKE VEH W/O OWNER,2404,38.63001178,-121.5246121
1/8/06 21:30,TOWN CENTER DR / DEL PASO RD,1,1A        ,144,23153(A) VC DUI CAUSE INJURY,5404,38.65588957,-121.5219811
1/8/06 21:30,4317 NORWOOD AVE,2,2A        ,232,459 PC  BURGLARY VEHICLE,2299,38.64648745,-121.4588953
1/8/06 21:30,1620 W EL CAMINO AVE,1,1B        ,443,594(B)(1)PC  VANDALISM +$400,2999,38.61266409,-121.4988152
1/8/06 21:35,SAN FRANCISCO BLVD / STOCKTON BLVD,6,6B        ,1064,TOWED/STORED VEH-14602.6,7000,38.53725978,-121.4485183
1/8/06 21:36,7613 TIERRA ARBOR WAY,6,6C        ,1445,TOWED/STORED VEHICLE,7000,38.50238552,-121.4148429
1/8/06 21:52,NORWOOD AVE / FAIRBANKS AVE,2,2B        ,532,TRAFFIC-ACCIDENT INJURY,5400,38.62592771,-121.4569441
1/8/06 21:54,123 DECATHLON CIR,5,5B        ,1614,SUSP PERS-NO CRIME - I RPT,7000,38.47577578,-121.4544107
1/8/06 22:09,ARCADE BLVD / DEL PASO BLVD,2,2B        ,537,TOWED/STORED VEH-14602.6,7000,38.62613997,-121.4269049
1/8/06 22:10,SAGINAW CIR / TRUXEL RD,1,1B        ,414,NON INJ HR/MAIL OUT REPORT,7000,38.62504428,-121.4978986
1/8/06 22:12,BOULDER WAY / QUARTZ CT,5,5B        ,1399,TRAFFIC-ACCIDENT-NON INJURY,5400,38.48712572,-121.4663806
1/8/06 22:29,6025 DIAS AVE,6,6B        ,1421,ELDER ABUSE/PHYS/MENTAL-I RPT,7000,38.51357385,-121.4310692
1/8/06 22:30,2350 AMERICAN RIVER DR,3,3C        ,877,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.56824782,-121.4063351
1/8/06 22:30,7811 SUMMERSDALE DR,5,5B        ,1621,459 PC  BURGLARY RESIDENCE,2204,38.47371582,-121.4416525
1/8/06 22:30,873 HUNTERS CREEK DR,2,2A        ,224,10851(A)VC TAKE VEH W/O OWNER,2404,38.65682845,-121.4449174
1/8/06 23:00,2773 SCREECH OWL WAY,1,1A        ,344,10851(A)VC TAKE VEH W/O OWNER,2404,38.63208305,-121.5275004
1/8/06 23:00,3051 FREEPORT BLVD,4,4A        ,936,594(B)(2)(A) VANDALISM/ -$400,2999,38.54903932,-121.4890727
1/8/06 23:00,35TH AVE / S LAND PARK DR,4,4C        ,1227,TRAFFIC-ACCIDENT-NON INJURY,5400,38.52123795,-121.5122674
1/8/06 23:03,3501 MEADOWVIEW RD,5,5B        ,1399,529 PC FALSE PERSONATION,2604,38.48160193,-121.4654193
1/8/06 23:30,4700 H ST,3,3C        ,834,484 PC PETTY THEFT,2399,38.56972093,-121.4436294
1/8/06 23:30,4408 DEL RIO RD,4,4A        ,955,484 PC PETTY THEFT,2399,38.53689529,-121.5045145
1/8/06 23:30,3131 RIVERSIDE BLVD,4,4A        ,934,484 PC PETTY THEFT,2399,38.550599,-121.5055033
1/8/06 23:30,3815 J ST,3,3C        ,832,484 PC PETTY THEFT,2399,38.57054301,-121.4559805
1/8/06 23:37,FRANKLIN BLVD / 34TH AVE,4,4B        ,988,11364 HS POSS DRUG PARAPH,3599,38.52164684,-121.4709707
1/8/06 23:37,FRANKLIN BLVD / 34TH AVE,4,4B        ,988,4140 BP  POSS OF HYPO NEEDLE,3599,38.52164684,-121.4709707
1/8/06 23:43,1400 GRAND AVE,2,2A        ,515,451(D) PC  ARSON OF PROPERTY,2099,38.63475409,-121.4347477
1/8/06 23:45,BROADWAY / STOCKTON BLVD,6,6A        ,1007,23152(A) VC DUI-ALCOHOL/DRUGS,5404,38.54675579,-121.4538401
1/8/06 23:45,W ST / 10TH ST,3,3A        ,784,594(B)(1)PC  VANDALISM +$400,2999,38.56602524,-121.4996535
1/8/06 23:49,1641 HALO WAY,1,1A        ,106,10851(A)VC TAKE VEH W/O OWNER,2404,38.68359884,-121.4986104
1/8/06 23:54,6 SAINT MARIE CIR,5,5B        ,1603,11357(B)HS POSS -28.5GR MARIJ,3562,38.48226812,-121.4482407
1/8/06 23:58,CORAL GABLES CT / MEADOWVIEW RD,5,5A        ,1396,FOUND PROPERTY - I RPT,7000,38.48146892,-121.475345
1/9/06 0:00,3200 TRUXEL RD,1,1C        ,414,459 PC  BURGLARY VEHICLE,2299,38.62648616,-121.4966948
1/9/06 0:00,6907 VILLA JUARES CIR,6,6C        ,1443,459 PC  BURGLARY VEHICLE,2299,38.50962701,-121.4236743
1/9/06 0:00,3223 DONNER WAY,6,6A        ,1021,LOST PROPERTY - I RPT,7000,38.54837098,-121.4723111
1/9/06 0:00,2 SUNBORG CT,2,2A        ,222,530.5 PC USE PERSONAL ID INFO,2604,38.64969964,-121.4599529
1/9/06 0:00,6390 BROADWAY,6,6B        ,1038,594(B)(2)(A) VANDALISM/ -$400,2999,38.54653635,-121.4305337
1/9/06 0:01,2645 PLOVER ST,2,2C        ,567,484 PETTY THEFT/LICENSE PLATE,2399,38.61442767,-121.4256271
1/9/06 0:01,1360 TUGGLE WAY,4,4C        ,1277,484 PC PETTY THEFT,2399,38.50337906,-121.5124278
1/9/06 0:01,8236 CENTER PKWY,5,5B        ,1633,459 PC  BURGLARY VEHICLE,2299,38.45936698,-121.4301423
1/9/06 0:01,4855 DARLINGTON LN,1,1A        ,130,459 PC  BURGLARY VEHICLE,2299,38.66058449,-121.5429309
1/9/06 0:01,2155 55TH AVE,4,4B        ,1353,530.5 PC USE PERSONAL ID INFO,2604,38.50102546,-121.4875817
1/9/06 0:01,8376 FRUITRIDGE RD,6,6C        ,1407,487(A) GRAND THEFT-INSIDE,2308,38.52466889,-121.3929846
1/9/06 0:01,1109 1/2 39TH ST,3,3C        ,843,530.5 PC USE PERSONAL ID INFO,2604,38.56831488,-121.4551476
1/9/06 0:05,1689 ARDEN WAY,2,2C        ,619,10851 VC AUTO THEFT LOCATE,2404,38.60154457,-121.42747
1/9/06 0:09,226 SANTIAGO AVE,2,2B        ,551,10851(A)VC TAKE VEH W/O OWNER,2404,38.6118742,-121.4611073
1/9/06 0:10,3916 TEMPLE AVE,6,6A        ,1051,10851 VC AUTO THEFT LOCATE,2404,38.53896764,-121.4702374
1/9/06 0:15,5TH ST / S ST,3,3A        ,773,211 PC  ROBBERY UNSPECIFIED,1299,38.57216632,-121.5043919
1/9/06 0:21,845 EL CAMINO AVE,2,2B        ,564,11364 HS POSS DRUG PARAPH,3599,38.61138598,-121.4472415
1/9/06 0:30,AMERICAN RIVER DR / HOWE AVE,3,3C        ,877,10851(A)VC TAKE VEH W/O OWNER,2404,38.5695415,-121.409084
1/9/06 0:30,4570 TIDEWIND DR,2,2A        ,223,484 PC   PETTY THEFT/INSIDE,2308,38.65120874,-121.4515199
1/9/06 0:30,17 LA PERA CT,5,5B        ,1602,243(E)1 BATTERY NONCOHAB SPOUS,1315,38.48832414,-121.4571972
1/9/06 0:41,4307 BURGESS DR,2,2A        ,233,451(B) PC ARSON OF INHAB STRUC,2099,38.64628124,-121.4553219
1/9/06 0:45,3765 ANDROS WAY,5,5B        ,1612,MISSING PERSON,7000,38.4811677,-121.4647448
1/9/06 0:45,6205 RIVERSIDE BLVD,4,4C        ,1265,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.51368568,-121.5292694
1/9/06 0:50,EL CAMINO AVE / DEL PASO BLVD,2,2C        ,563,TOWED/STORED VEH-14602.6,7000,38.61112661,-121.4487064
1/9/06 1:07,6421 RIVERSIDE BLVD,4,4C        ,1262,459 PC  BURGLARY BUSINESS,2203,38.51042757,-121.5419071
1/9/06 1:18,4332 NORWOOD AVE,2,2A        ,233,MISSING PERSON,7000,38.64642723,-121.4560035
1/9/06 1:35,941 43RD AVE,4,4C        ,1251,5150 WI DANGER SELF/OTHERS,7000,38.51658451,-121.5236897
1/9/06 1:45,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000,38.53881527,-121.479014
1/9/06 1:49,ALHAMBRA BLVD / W ST,6,6A        ,1001,647(F) PC DIP - DISORDERLY,5311,38.55806637,-121.4715924
1/9/06 2:10,8017 ARROYO VISTA DR,5,5C        ,1637,459 PC  BURGLARY VEHICLE,2299,38.46703933,-121.419142
1/9/06 2:30,FRUITRIDGE RD / STOCKTON BLVD,6,6B        ,1086,10851(A)VC TAKE VEH W/O OWNER,2404,38.52497346,-121.4425904
1/9/06 2:43,5321 STOCKTON BLVD,6,6B        ,1086,FOUND PROPERTY - I RPT,7000,38.52709836,-121.4424934
1/9/06 2:48,2636 LATHAM DR,3,3C        ,877,459 PC  BURGLARY BUSINESS,2203,38.56945352,-121.4005189
1/9/06 3:00,2750 SUTTERVILLE RD,4,4B        ,958,MISSING PERSON,7000,38.53881527,-121.479014
1/9/06 3:27,2444 EMPRESS ST,2,2C        ,603,459 PC  BURGLARY RESIDENCE,2204,38.61000927,-121.4470317
1/9/06 3:54,104 FOUNTAIN OAKS CIR,4,4C        ,1296,10851(A)VC TAKE VEH W/O OWNER,2404,38.4873608,-121.5160587
1/9/06 3:59,1331 21ST ST,3,3B        ,747,459 PC  BURGLARY BUSINESS,2203,38.57211152,-121.4800056
1/9/06 4:49,2201 K ST,3,3B        ,747,459 PC  BURGLARY BUSINESS,2203,38.57510308,-121.4772309
1/9/06 5:00,6222 BOBBIWOOD WAY,6,6C        ,1441,459 PC  BURGLARY RESIDENCE,2204,38.50643674,-121.4315489
1/9/06 5:42,UNION ST / RIO LINDA BLVD,2,2B        ,523,11377(A)HS POSS AMPHETAMINES,3572,38.62798003,-121.4461572
1/9/06 5:53,S WATT AVE / FRUITRIDGE RD,6,6C        ,1409,TRAFFIC-ACCIDENT-NON INJURY,5400,38.52524507,-121.3702937
1/9/06 6:00,3257 NORTHVIEW DR,1,1C        ,418,459 PC  BURGLARY VEHICLE,2299,38.62712763,-121.4772274
1/9/06 6:25,6 DEERTREE CT,5,5B        ,1616,10851(A)VC TAKE VEH W/O OWNER,2404,38.46956286,-121.4616848
1/9/06 6:30,2303 ROANOKE AVE,2,2A        ,517,10851(A)VC TAKE VEH W/O OWNER,2404,38.6347855,-121.4134444
1/9/06 6:36,56TH ST / BROADWAY,6,6B        ,1019,20002(A) HIT/RUN,5401,38.546706,-121.440543
1/9/06 6:41,2150 STOCKTON BLVD,6,6B        ,1003,5150 WI DANGER SELF/OTHERS,7000,38.55727813,-121.4614322
1/9/06 6:50,1002 2ND ST,3,3M        ,741,459 PC  BURGLARY BUSINESS,2203,38.5828944,-121.5043244
1/9/06 7:00,2315 STOCKTON BLVD,6,6B        ,1005,THREATS - I RPT,7000,38.55426406,-121.4546045
1/9/06 7:00,HOWE AVE / AMERICAN RIVER DR,3,3C        ,877,TRAFFIC-ACCIDENT INJURY,5400,38.5695415,-121.409084
1/9/06 7:00,8583 ELDER CREEK RD,6,6C        ,1427,459 PC  BURGLARY VEHICLE,2299,38.51141318,-121.3865549
1/9/06 7:20,1955 71ST AVE,5,5A        ,1502,459 PC  BURGLARY RESIDENCE,2204,38.477606,-121.4933388
1/9/06 7:28,35TH ST / 3RD AVE,6,6A        ,1013,TOWED/STORED VEHICLE,7000,38.55155803,-121.4684935
1/9/06 7:39,1201 FRONT ST,3,3M        ,751,594(B)(2)(A) VANDALISM/ -$400,2999,38.58102646,-121.5060865
1/9/06 7:45,425 UNIVERSITY AVE,3,3C        ,876,10851(A)VC TAKE VEH W/O OWNER,2404,38.57039642,-121.4184859
1/9/06 7:45,VALLEY HI DR / BRUCEVILLE RD,5,5C        ,1624,TOWED/STORED VEHICLE,7000,38.4706931,-121.4271773
1/9/06 7:56,1630 59TH AVE,4,4B        ,1351,5150 WI DANGER SELF/OTHERS,7000,38.49696354,-121.4999731
1/9/06 8:00,1407 COMMONS DR,3,3C        ,876,10851(A)VC TAKE VEH W/O OWNER,2404,38.56374026,-121.4119685
1/9/06 8:00,7633 22ND ST,5,5A        ,1503,LOST PROPERTY - I RPT,7000,38.47952023,-121.4865622
1/9/06 8:00,1672 ROSALIND ST,2,2B        ,526,484 PC   THEFT-LIC PLATE TABS,2399,38.63082118,-121.4278895
1/9/06 8:00,999 ARCADE BLVD,2,2B        ,544,484 PC  PETTY THEFT/ OUTSIDE,2309,38.62592964,-121.4440379
1/9/06 8:00,6715 GLORIA DR,4,4C        ,1272,MISSING PERSON,7000,38.50298477,-121.5346969
1/9/06 8:15,MARTIN LUTHER KING JR BLVD / BROADWAY,6,6A        ,1014,TOWED/STORED VEH-14602.6,7000,38.54718283,-121.4647218
1/9/06 8:18,BROADWAY / STOCKTON BLVD,6,6A        ,1007,TOWED/STORED VEHICLE,7000,38.54675579,-121.4538401
1/9/06 8:20,TRUXEL RD / GATEWAY PARK BLVD,1,1A        ,338,484 PETTY THEFT CLOUT UNLOCKED,2305,38.63747898,-121.5038958
1/9/06 8:26,37TH ST / 2ND AVE,6,6A        ,1014,TOWED/STORED VEHICLE,7000,38.55196925,-121.4653678
1/9/06 8:30,1551 UNIVERSITY AVE,3,3C        ,876,484 PETTY THEFT/LICENSE PLATE,2399,38.56140588,-121.4113652
1/9/06 8:30,1551 UNIVERSITY AVE,3,3C        ,876,10851(A)VC TAKE VEH W/O OWNER,2404,38.56140588,-121.4113652
1/9/06 8:30,8233 BELVEDERE AVE,6,6C        ,1134,242 PC  BATTERY CIVILIAN,1313,38.53912989,-121.403165
1/9/06 8:36,2338 FLORIN RD,5,5A        ,1364,647(F) PC PUB INTOX-DETOX ONLY,5311,38.49502927,-121.4847037
1/9/06 8:40,ELEANOR AVE / RIO LINDA BLVD,2,2B        ,553,TRAFFIC-ACCIDENT INJURY,5400,38.61655968,-121.4461619
1/9/06 8:45,8557 MELVILLE DR,5,5C        ,1654,459 PC  BURGLARY RESIDENCE,2204,38.44502931,-121.4059375
1/9/06 8:49,BRUCEVILLE RD / CALVINE RD,5,5C        ,1654,TRAFFIC-ACCIDENT INJURY,5400,38.44973707,-121.4180465
1/9/06 8:58,5593 BRAMPTON WAY,1,1A        ,104,10851(A)VC TAKE VEH W/O OWNER,2404,38.67808799,-121.5154531
1/9/06 9:00,720 9TH ST,3,3A        ,732,290(A)(1)(D) FAIL TO REG-5 DAY,3699,38.58357594,-121.4942898
1/9/06 9:00,5041 WHITTIER DR,6,6C        ,1152,242 PC  BATTERY CIVILIAN,1313,38.52929929,-121.4215299
1/9/06 9:00,7000 FRANKLIN BLVD,5,5B        ,1359,484G(B) PC ACCESS CARD FRAUD,2605,38.49940254,-121.4627597
1/9/06 9:00,STOCKTON BLVD / BROADWAY,6,6A        ,1007,TOWED/STORED VEH-14602.6,7000,38.54675579,-121.4538401
1/9/06 9:06,ECKERT CT / EHRHARDT AVE,5,5C        ,1634,TRAFFIC-ACCIDENT-NON INJURY,5400,38.46073053,-121.4457074
1/9/06 9:06,MANDY DR / SALT CT,5,5B        ,1399,TOWED/STORED VEH-14602.6,7000,38.48677948,-121.4598222
1/9/06 9:15,BRUCEVILLE RD / JACINTO AVE,5,5C        ,1654,TOWED/STORED VEH-14602.6,7000,38.44697363,-121.4178456
1/9/06 9:15,39TH ST / BROADWAY,6,6A        ,1014,TOWED/STORED VEH-14602.6,7000,38.54700614,-121.4633315
1/9/06 9:18,BROADWAY / LA SOLIDAD WAY,6,6A        ,1014,TRAFFIC-ACCIDENT INJURY,5400,38.54680076,-121.4616791
1/9/06 9:30,3865 J ST,3,3C        ,832,459 PC  BURGLARY VEHICLE,2299,38.57069163,-121.4548846
1/9/06 9:30,3109 CRANDALL AVE,2,2B        ,545,459 PC  BURGLARY RESIDENCE,2204,38.62465729,-121.4381426
1/9/06 9:30,14TH AVE / POWER INN RD,6,6C        ,1124,459 PC  BURGLARY VEHICLE,2299,38.53954773,-121.4091401
1/9/06 9:30,2112 3RD ST,3,3A        ,782,487(A) PC GRAND THEFT,2303,38.57043064,-121.5081955
1/9/06 9:34,3000 J ST,3,3C        ,841,NON INJ HR/MAIL OUT REPORT,7000,38.57271087,-121.4662897
1/9/06 9:35,STOCKTON BLVD / BROADWAY,6,6A        ,1007,TOWED/STORED VEHICLE,7000,38.54675579,-121.4538401
1/9/06 9:40,4701 MACK RD,5,5B        ,1603,245(A)(1)AWDW/NO FIREARM/CIVIL,1315,38.47435531,-121.448452
1/9/06 9:55,BROADWAY / 55TH ST,6,6B        ,1019,TOWED/STORED VEH-14602.6,7000,38.54669508,-121.4416935
1/9/06 9:58,2315 MOSSY BANK DR,1,1B        ,444,273.6(A) PC VIO DV COURT ORDER,5007,38.60874842,-121.4944018
1/9/06 10:00,3913 CLAY ST,2,2A        ,504,530.5 PC USE PERSONAL ID INFO,2604,38.63895258,-121.439826
1/9/06 10:00,407 FLORIN RD,4,4C        ,1262,459 PC  BURGLARY VEHICLE,2299,38.5077414,-121.5389783
1/9/06 10:00,7723 REENEL WAY,5,5A        ,1501,459 PC  BURGLARY RESIDENCE,2204,38.47692818,-121.5022861
1/9/06 10:00,5905 RIVERSIDE BLVD,4,4C        ,1251,10851(A)VC TAKE VEH W/O OWNER,2404,38.51995472,-121.5225871
1/9/06 10:00,2526 L ST,3,3B        ,748,484 PC PETTY THEFT,2399,38.57223488,-121.4732784
1/9/06 10:00,CALVINE RD / JACINTO AVE,5,5C        ,1644,TOWED/STORED VEH-14602.6,7000,38.44878699,-121.4408522
1/9/06 10:00,1127 11TH ST,3,3M        ,744,484 PC   PETTY THEFT/INSIDE,2308,38.57798346,-121.4926364
1/9/06 10:00,2527 O ST,3,3B        ,768,484 PETTY THEFT CLOUT UNLOCKED,2305,38.56931341,-121.4745346
1/9/06 10:14,SAN RAFAEL CT / BROADWAY,6,6A        ,1015,TOWED/STORED VEH-14602.6,7000,38.5467716,-121.458959
1/9/06 10:15,SITKA ST / DOS RIOS ST,3,3A        ,709,TOWED/STORED VEHICLE,7000,38.59279731,-121.485061
1/9/06 10:15,2570 24TH ST,4,4A        ,907,484 PC   PETTY THEFT/INSIDE,2308,38.55689118,-121.4831624
1/9/06 10:30,2900 WEALD WAY,1,1B        ,421,TOWED/STORED VEH-14602.6,7000,38.61866401,-121.5195671
1/9/06 10:32,JESSIE AVE / NORWOOD AVE,2,2A        ,233,TOWED/STORED VEHICLE,7000,38.64404243,-121.4568936
1/9/06 10:41,3301 FONG RANCH RD,1,1B        ,404,GANG ACTIVITY - I RPT,7000,38.63020663,-121.4959999
1/9/06 10:44,55TH ST / FRUITRIDGE RD,6,6B        ,1086,22435.2(A) BP POSS SHOP CART,2399,38.52498825,-121.440535
1/9/06 11:00,6011 VALLEY VALE WAY,5,5B        ,1633,594(B)(2)(A) VANDALISM/ -$400,2999,38.4616929,-121.4323938
1/9/06 11:00,N D ST / DOS RIOS ST,3,3A        ,709,TOWED/STORED VEHICLE,7000,38.59279731,-121.485061
1/9/06 11:02,FOLSOM BLVD / 36TH ST,3,3C        ,843,TRAFFIC-ACCIDENT-NON INJURY,5400,38.56588957,-121.4602865
1/9/06 11:08,8391 FOLSOM BLVD,3,3C        ,1115,TRAFFIC-ACCIDENT INJURY,5400,38.54818818,-121.3940644
1/9/06 11:12,5320 S LAND PARK DR,4,4A        ,1208,CASUALTY REPORT,7000,38.52691284,-121.5113897
1/9/06 11:30,2514 AUTUMN MEADOW AVE,1,1A        ,104,487(A) GRAND THEFT-AUTO PARTS,2304,38.67811932,-121.5183604
1/9/06 11:35,EL CAMINO AVE / BUS 80 EB,2,2C        ,568,NON INJ HR/MAIL OUT REPORT,7000,38.61118933,-121.4265596
1/9/06 11:45,24TH ST / J ST,3,3B        ,738,TRAFFIC-ACCIDENT-NON INJURY,5400,38.5752667,-121.4745537
1/9/06 11:53,GRANDSTAFF DR / BAMFORD DR,5,5C        ,1623,GANG ACTIVITY - I RPT,7000,38.47059147,-121.43386
1/9/06 11:59,YOUNG ST / STOCKTON BLVD,6,6B        ,1401,11377(A)HS POSS AMPHETAMINES,3572,38.52394421,-121.4421196
1/9/06 12:00,5016 ROSE ST,2,2A        ,224,484 PC PETTY THEFT,2399,38.65887585,-121.4469922
1/9/06 12:00,7700 SWEETBRIER WAY,5,5A        ,1502,MISSING PERSON,7000,38.47732902,-121.49092
1/9/06 12:00,1025 ALHAMBRA BLVD,3,3C        ,841,484 PC   PETTY THEFT/INSIDE,2308,38.57188611,-121.4648897
1/9/06 12:06,5009 BROADWAY,6,6B        ,1019,TOWED/STORED VEH-14602.6,7000,38.54674644,-121.4460953
1/9/06 12:15,3561 TRUXEL RD,1,1A        ,337,484G(A)PC USE FORGED CARD,2605,38.63449242,-121.5028488
1/9/06 12:20,1025 ALHAMBRA BLVD,3,3C        ,841,242 PC  BATTERY CIVILIAN,1313,38.57188611,-121.4648897
1/9/06 12:30,2715 EDINGER AVE,4,4B        ,1346,290(A)(1)(A) FAIL REG-CHG ADD,3699,38.503518,-121.4757666
1/9/06 12:38,ARCADE BLVD / RIO LINDA BLVD,2,2B        ,544,594(B)(2)(A) VANDALISM/ -$400,2999,38.62427027,-121.446158
1/9/06 12:38,4529 BROOKFIELD DR,5,5B        ,1603,TOWED/STORED VEHICLE,7000,38.48274139,-121.4501724
1/9/06 12:43,MACK RD / VALLEY HI DR,5,5C        ,1606,TRAFFIC-ACCIDENT-NON INJURY,5400,38.47421612,-121.42717
1/9/06 12:50,1100 14TH ST,3,3M        ,745,647(I) PEEPING TOM-INHAB DWELL,3611,38.57815667,-121.4876958
1/9/06 13:00,5340 MAPLETON WAY,5,5C        ,1651,594(B)(2)(A)VANDALISM GRAF-400,2999,38.44752323,-121.4401567
1/9/06 13:00,6001 RIVERSIDE BLVD,4,4C        ,1251,10851(A)VC TAKE VEH W/O OWNER,2404,38.51685646,-121.5250509
1/9/06 13:00,19TH ST / BIDWELL WAY,4,4A        ,926,GANG ACTIVITY - I RPT,7000,38.55019478,-121.4920577
1/9/06 13:00,2630 PHYLLIS AVE,4,4B        ,969,653M(B) PC ANNOY/RPT CALL HOME,5307,38.53085814,-121.479149
1/9/06 13:00,1330 FLORIN RD,4,4C        ,1289,FRAUD-SWINDLE,2602,38.49525938,-121.5079025
1/9/06 13:03,4611 BROADWAY,6,6B        ,1007,TOWED/STORED VEHICLE,7000,38.5473157,-121.4520421
1/9/06 13:29,STOCKTON BLVD / BROADWAY,6,6A        ,1007,TOWED/STORED VEH-14602.6,7000,38.54675579,-121.4538401
1/9/06 13:31,28TH ST / H ST,3,3B        ,728,TRAFFIC-ACCIDENT-NON INJURY,5400,38.57602331,-121.4682622
1/9/06 13:40,5TH ST / BROADWAY,4,4A        ,909,TRAFFIC-ACCIDENT INJURY,5400,38.56559378,-121.5072531
1/9/06 13:41,10TH AVE / SANTA BUENA WAY,4,4A        ,933,FILE-UNABLE TO DEFINE - I RPT,7000,38.54910632,-121.5096362
1/9/06 13:45,414 K ST,3,3M        ,742,484 PETTY THEFT-SHOPLIFT,2303,38.58062786,-121.5014996
1/9/06 13:49,350 UNIVERSITY AVE,3,3C        ,876,FOUND PROPERTY - I RPT,7000,38.57009677,-121.4162358
1/9/06 13:50,CALVINE RD / CARLIN AVE,5,5C        ,1653,TOWED/STORED VEH-14602.6,7000,38.4511981,-121.4341184
1/9/06 14:00,785 PLAZA AVE,2,2B        ,563,484 PC   THEFT-LIC PLATE TABS,2399,38.61315477,-121.4490547
1/9/06 14:00,481 HARTNELL PL,3,3C        ,876,459 PC  BURGLARY RESIDENCE,2204,38.56689949,-121.413324
1/9/06 14:00,1689 ARDEN WAY,2,2C        ,619,459 PC  BURGLARY VEHICLE,2299,38.60154457,-121.42747
1/9/06 14:00,7568 32ND ST,5,5A        ,1398,TOWED/STORED VEHICLE,7000,38.48278711,-121.471758
1/9/06 14:09,4756 BROOKFIELD DR,5,5B        ,1603,TOWED/STORED VEH-14602.6,7000,38.47985848,-121.4462157
1/9/06 14:11,RANCHO CAMPO CT / RANCHO PLAZA DR,6,6C        ,1443,10851 VC AUTO THEFT LOCATE,2404,38.50440869,-121.422371
1/9/06 14:12,2315 34TH ST,6,6B        ,1002,BATTERY - I RPT,7000,38.55630084,-121.4662305
1/9/06 14:13,2500 NEW MARKET DR,1,1A        ,144,GANG ACTIVITY - I RPT,7000,38.65847399,-121.5161468
1/9/06 14:15,1200 J ST,3,3M        ,744,484 PC   PETTY THEFT/INSIDE,2308,38.57929276,-121.4906436
1/9/06 14:20,2500 NEW MARKET DR,1,1A        ,144,GANG ACTIVITY - I RPT,7000,38.65847399,-121.5161468
1/9/06 14:20,6761 GLORIA DR,4,4C        ,1264,484 PC   PETTY THEFT/INSIDE,2308,38.50388656,-121.5390906
